date,open,high,low,close,dvol
2023-06-07,1884.93,1898,1820,1832.49,41.64
2023-06-08,1832.43,1861.59,1828.63,1845.99,40.94
2023-06-09,1846.21,1855.44,1826.92,1840.46,40.86
2023-06-10,1840.46,1845.19,1716.24,1752.32,45.56
2023-06-11,1752.32,1778.65,1739,1753.1,44.96
2023-06-12,1753.1,1759.58,1719.74,1742.66,48.38
2023-06-13,1742.69,1766.23,1723.68,1739.54,47.27
2023-06-14,1739.51,1749.85,1630,1650.84,47.95
2023-06-15,1650.84,1678.91,1620.15,1665.28,47.74
2023-06-16,1665.17,1727.8,1648.29,1716.8,46.88
2023-06-17,1716.71,1769.08,1712.96,1727.09,44.89
2023-06-18,1727.15,1747.4,1712.61,1720.43,45.94
2023-06-19,1720.4,1750.71,1698.53,1736.58,45.4
2023-06-20,1736.45,1797.24,1713.79,1792.86,47.99
2023-06-21,1792.71,1901.86,1787.4,1889.57,51.21
2023-06-22,1889.46,1933.72,1866.57,1872.13,48.06
2023-06-23,1872.13,1936.68,1861.37,1893.66,50.28
2023-06-24,1893.74,1906.86,1865.64,1875.87,49.14
2023-06-25,1875.88,1930.66,1869.88,1899.73,48.5
2023-06-26,1899.8,1908.95,1836.25,1859.19,46.87
2023-06-27,1859.19,1912.6,1855.41,1889.82,47.92
2023-06-28,1889.77,1890.49,1816,1827.37,46.75
2023-06-29,1827.3,1879.6,1826.43,1852.11,43.27
2023-06-30,1851.98,1946.75,1823.2,1933.57,45.49
2023-07-01,1933.7,1944.32,1908.65,1924.14,44.28
2023-07-02,1924.14,1959.7,1885.33,1937.26,46.67
2023-07-03,1937.28,1976.99,1933.46,1955.76,48.07
2023-07-04,1955.76,1967.07,1931.7,1936.42,46.92
2023-07-05,1936.44,1942.66,1894.18,1910.14,44.12
2023-07-06,1910.15,1957.76,1845.7,1845.8,46.1
2023-07-07,1846.04,1878.09,1825.38,1870.93,44.13
2023-07-08,1870.9,1873.23,1842.57,1865.56,41.54
2023-07-09,1865.56,1879.35,1856.62,1863.01,42.84
2023-07-10,1862.99,1905.83,1846.99,1880.62,42.36
2023-07-11,1880.62,1891.7,1862.23,1878.66,41.59
2023-07-12,1878.58,1905,1864.17,1871.65,40.45
2023-07-13,1871.65,2014.26,1862.44,2005.95,46.89
2023-07-14,2005.95,2029.34,1898.88,1938.91,45.4
2023-07-15,1938.99,1947.04,1926.92,1931.9,44.9
2023-07-16,1931.89,1944.15,1914.75,1923.38,43.2
2023-07-17,1923.21,1936.93,1873.61,1911.38,43.02
2023-07-18,1911.26,1917.49,1876.01,1897.72,42.38
2023-07-19,1897.72,1922.33,1882.15,1888.73,41.55
2023-07-20,1888.65,1929.03,1877.77,1891.72,40.38
2023-07-21,1891.76,1905.41,1884.43,1891.92,38.37
2023-07-22,1891.92,1897.62,1851.35,1866.69,38.44
2023-07-23,1866.61,1905.24,1858.19,1888.65,37.15
2023-07-24,1888.64,1890.93,1832.83,1849.69,37.01
2023-07-25,1849.68,1868.14,1844.69,1857.28,37.6
2023-07-26,1857.29,1887.75,1848.03,1871.92,36.16
2023-07-27,1871.92,1886.15,1854.39,1860.88,35.59
2023-07-28,1860.87,1882.77,1856.18,1874.05,34.27
2023-07-29,1874.01,1886.26,1869.1,1880.71,33.98
2023-07-30,1880.88,1885.46,1848.81,1861.65,35.21
2023-07-31,1861.65,1876.82,1850.55,1856,35.57
2023-08-01,1856.09,1874.88,1812,1872.89,37.06
2023-08-02,1872.78,1878.86,1820.1,1838.92,37.62
2023-08-03,1838.91,1857.6,1824,1834.34,36.5
2023-08-04,1834.34,1849.99,1813.45,1827.3,35.2
2023-08-05,1827.3,1837.16,1824.45,1834.66,35.44
2023-08-06,1834.66,1836.92,1823.7,1827.5,34.87
2023-08-07,1827.49,1844.11,1800,1826.9,34.53
2023-08-08,1826.9,1876.1,1824,1855.71,34.65
2023-08-09,1855.71,1870.85,1843.35,1854.09,34.51
2023-08-10,1854.09,1864.35,1844.07,1850.38,33.47
2023-08-11,1850.38,1855.54,1836.41,1846.76,30.69
